,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
184,Federal Taxation II: Property Transactions of Business Owners and Shareholders,University of Illinois at Urbana-Champaign,Course,5.6k,Business,business_and_management,1-3 Months,4.9,Intermediate
185,Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,Course,11k,Business,business_and_management,1-3 Months,4.8,Mixed
186,Project Execution and Control,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,5,Mixed
187,Types of Conflict,"University of California, Irvine",Course,43k,Business,business_and_management,1-3 Months,4.4,Mixed
188,Conflict and stress management,Saint Petersburg State University,Course,2.5k,Business,business_and_management,1-3 Months,3.6,Mixed
189,Introduction to Business,"University of California, Irvine",Specialization,2.4k,Business,business_and_management,1-3 Months,4.9,Beginner
190,Modern Supervisor Skills,Institute of Certified Professional Managers,Course,9.3k,Business,business_and_management,1-3 Months,4.7,Beginner
191,Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),Course,360k,Business,business_and_management,1-3 Months,4.8,Mixed
192,Management of International Development: Towards Agenda 2030,Università Bocconi,Course,2.1k,Business,business_and_management,1-3 Months,4.8,Mixed
193,"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,Course,31k,Business,business_and_management,1-3 Months,4.7,Mixed
194,Fundamentals of financial and management accounting,Politecnico di Milano,Course,19k,Business,business_and_management,1-3 Months,4.7,Beginner
195,Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,Course,83k,Business,business_and_management,1-3 Months,4.3,Mixed
196,Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,Course,12k,Business,business_and_management,1-3 Months,4.8,Intermediate
197,Basic Skills in Constructive Communication,Peter the Great St. Petersburg Polytechnic University,Course,9.8k,Business,business_and_management,1-3 Months,4.5,Beginner
198,Бухгалтерский учет и аудит. Продвинутый курс,Saint Petersburg State University,Course,7.6k,Business,business_and_management,1-3 Months,4.5,Mixed
199,Банковское дело и финансы,SberUniversity,Course,20k,Business,business_and_management,1-3 Months,4.7,Intermediate
200,Менеджмент профессиональной траектории,National Research Tomsk State University,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
201,Digital Competition in Financial Services,Copenhagen Business School,Course,28k,Business,business_and_management,1-3 Months,4.6,Beginner
202,Brand and Product Management,IE Business School,Course,79k,Business,business_and_management,1-3 Months,4.7,Mixed
203,Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,Course,8k,Business,business_and_management,1-3 Months,4.7,Intermediate
